#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:42:54       0      3      2      0    100      0      0  10251   2670    104    327 
 20260527    14:42:56       0      2      1      0    100      0      0  10251   2670     69    313 
 20260527    14:42:57       0      2      1      1    100      0      0  10251   2670    153    272 
 20260527    14:42:58       0      3      2      0    100      0      0  10251   2670    132    301 
 20260527    14:42:59       0      2      2      0    100      0      0  10251   2670    151    310 
 20260527    14:43:00       0      2      2      1    100      0      0  10251   2670    162    293 
 20260527    14:43:01       0      2      1      0    100      0      0  10251   2670    139    295 
 20260527    14:43:02       0      3      2      1    100      0      0  10251   2670    136    331 
 20260527    14:43:03       0      2      1      0    100      0      0  10251   2670     92    335 
 20260527    14:43:04       0      2      1      1    100      0      0  10251   2670    170    293 
 20260527    14:43:05       0      3      2      0    100      0      0  10251   2670    141    310 
 20260527    14:43:06       0      3      2      0    100      0      0  10251   2670    158    292 
 20260527    14:43:07       0      2      1      0    100      0      0  10251   2670    138    294 
 20260527    14:43:08       0      2      1      0    100      0      0  10251   2670    164    286 
 20260527    14:43:09       0      3      2      0    100      0      0  10251   2670    170    292 
 20260527    14:43:11       0      2      2      0    100      0      0  10251   2670    288    292 
 20260527    14:43:12       0      2      1      0    100      0      0  10251   2670    145    292 
 20260527    14:43:13       0      2      2      1    100      0      0  10251   2670    101    334 
 20260527    14:43:14       0      3      2      0    100      0      0  10251   2670    104    329 
 20260527    14:43:15       0      3      2      0    100      0      0  10251   2670     95    306 
 20260527    14:43:16       0      2      1      1    100      0      0  10251   2670    136    310 
 20260527    14:43:17       0      3      2      0    100      0      0  10251   2670    176    273 
 20260527    14:43:18       0      2      2      0    100      0      0  10251   2670    133    328 
 20260527    14:43:19       0      2      2      0    100      0      0  10251   2670     83    291 
 20260527    14:43:20       0      3      2      0    100      0      0  10251   2670    106    338 
 20260527    14:43:21       0      3      2      0    100      0      0  10251   2670     79    330 
 20260527    14:43:22       0      3      2      0    100      0      0  10251   2670     75    332 
 20260527    14:43:23       0      2      2      0    100      0      0  10251   2670     95    327 
 20260527    14:43:25       0      3      2      0    100      0      0  10251   2670    394    368 
 20260527    14:43:26       0      3      2      1    100      0      0  10251   2670    102    346 
 20260527    14:43:27       0      2      1      0    100      0      0  10251   2670    142    274 
 20260527    14:43:28       0      3      2      1    100      0      0  10251   2670    111    306 
 20260527    14:43:29       0      2      1      1    100      0      0  10251   2670    131    297 
 20260527    14:43:30       0      3      2      0    100      0      0  10251   2670    133    316 
 20260527    14:43:31       0      3      2      1    100      0      0  10251   2670    139    283 
 20260527    14:43:32       0      2      1      1    100      0      0  10251   2670    100    327 
 20260527    14:43:33       0      3      2      0    100      0      0  10251   2670    143    315 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:43:34       0      3      2      1    100      0      0  10251   2670     94    331 
 20260527    14:43:35       0      2      2      1    100      0      0  10251   2670    150    293 
